dataset_name,display_name,algorithm_name,algorithm_display_name,seed,n_classes,test_samples,test_features,training_time_seconds,selected_validation_accuracy,selection_metric,grid_size,selected_search_iteration,warning_count,warnings,model_params,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,positive_label,precision_binary,recall_binary,f1_binary
faults,Steel Plates Faults,fuzzy_cmeans,Fuzzy C-Means,45,7,389,27,0.802530622000063,0.5,validation_accuracy,5,2,0,,"{""m"": 1.5, ""n_clusters"": 14, ""random_state"": 45}",0.5295629820051414,0.30652566611470716,0.2733641417185721,0.22791468406507784,0.5005167122204133,0.5295629820051414,0.40938771789699735,,,,
faults,Steel Plates Faults,sugeno_o0,Sugeno_O0,45,7,389,27,0.17060895099996287,0.5618556701030928,validation_accuracy,5,2,0,,"{""n_rules"": 14, ""random_state"": 45, ""sigma_scale"": 0.5}",0.6015424164524421,0.4020333654479996,0.3738596373728508,0.36892189946844883,0.5729686409039346,0.6015424164524421,0.552603001405408,,,,
faults,Steel Plates Faults,mlp_classifier,MLP,46,7,389,27,1.603346891000001,0.7422680412371134,validation_accuracy,5,2,1,Stochastic Optimizer: Maximum iterations (500) reached and the optimization hasn't converged yet.,"{""activation"": ""relu"", ""alpha"": 0.0001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""random_state"": 46}",0.7686375321336761,0.7910745870829904,0.7951533959714885,0.7893472967246101,0.7669624727918996,0.7686375321336761,0.7657601632171886,,,,
faults,Steel Plates Faults,rbf_network,RBF Network,46,7,389,27,0.20798712700002397,0.6804123711340206,validation_accuracy,5,3,0,,"{""gamma"": null, ""n_centers"": 28, ""random_state"": 46}",0.7017994858611826,0.7084161809676416,0.5829206120350479,0.5871940582750123,0.7079480392159969,0.7017994858611826,0.6750498980904373,,,,
faults,Steel Plates Faults,fuzzy_cmeans,Fuzzy C-Means,46,7,389,27,1.0643069360000936,0.48711340206185566,validation_accuracy,5,2,0,,"{""m"": 1.5, ""n_clusters"": 14, ""random_state"": 46}",0.5269922879177378,0.338695153391639,0.2708503560824236,0.22242506440327134,0.5477993495684471,0.5269922879177378,0.4019214554169093,,,,
faults,Steel Plates Faults,sugeno_o0,Sugeno_O0,46,7,389,27,0.16082183499997882,0.5644329896907216,validation_accuracy,5,2,0,,"{""n_rules"": 14, ""random_state"": 46, ""sigma_scale"": 0.5}",0.6118251928020566,0.5211438966072403,0.4576148696703247,0.47310098124956046,0.587229193931593,0.6118251928020566,0.5768713189790129,,,,
faults,Steel Plates Faults,mlp_classifier,MLP,47,7,389,27,0.7290167820000306,0.7603092783505154,validation_accuracy,5,5,0,,"{""activation"": ""tanh"", ""alpha"": 0.001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""random_state"": 47}",0.7480719794344473,0.7754433281260739,0.7959423256406015,0.7846816257128719,0.7510399984115789,0.7480719794344473,0.7484657244505644,,,,
faults,Steel Plates Faults,rbf_network,RBF Network,47,7,389,27,0.18175150199999734,0.6701030927835051,validation_accuracy,5,3,0,,"{""gamma"": null, ""n_centers"": 28, ""random_state"": 47}",0.6709511568123393,0.6781956604880232,0.540801424120686,0.5739186341333274,0.6892703254655259,0.6709511568123393,0.6542543414651139,,,,
faults,Steel Plates Faults,fuzzy_cmeans,Fuzzy C-Means,47,7,389,27,1.1552424399999381,0.5025773195876289,validation_accuracy,5,2,0,,"{""m"": 1.5, ""n_clusters"": 14, ""random_state"": 47}",0.5012853470437018,0.26211867383609394,0.25713392717612127,0.2195056704986237,0.4339840458455843,0.5012853470437018,0.39459843878440487,,,,
faults,Steel Plates Faults,sugeno_o0,Sugeno_O0,47,7,389,27,0.1543374699999731,0.5747422680412371,validation_accuracy,5,2,0,,"{""n_rules"": 14, ""random_state"": 47, ""sigma_scale"": 0.5}",0.5681233933161953,0.372212253661529,0.3502892251726362,0.3473914085691621,0.5274043441004433,0.5681233933161953,0.5221415758376845,,,,
